Date,Closing
2021-03-29 00:00:00,469.32
2021-03-30 00:00:00,465.46
2021-03-31 00:00:00,475.37
2021-04-01 00:00:00,483.34
2021-04-05 00:00:00,491.62
2021-04-06 00:00:00,491.34
2021-04-07 00:00:00,493.41
2021-04-08 00:00:00,499.84
2021-04-09 00:00:00,504.04
2021-04-12 00:00:00,506.03
2021-04-13 00:00:00,514.86
2021-04-14 00:00:00,510.63
2021-04-15 00:00:00,523.25
2021-04-16 00:00:00,525.08
2021-04-19 00:00:00,516.17
2021-04-20 00:00:00,514.21
2021-04-21 00:00:00,512.34
2021-04-22 00:00:00,507.29
2021-04-23 00:00:00,515.84
2021-04-26 00:00:00,515.7
2021-04-27 00:00:00,517.32
2021-04-28 00:00:00,515.48
2021-04-29 00:00:00,516.09
2021-04-30 00:00:00,508.34
2021-05-03 00:00:00,503.46
2021-05-04 00:00:00,490.7
2021-05-05 00:00:00,486.69
2021-05-06 00:00:00,483.61
2021-05-07 00:00:00,488.73
2021-05-10 00:00:00,479.38
2021-05-11 00:00:00,485.19
2021-05-12 00:00:00,472.09
2021-05-13 00:00:00,474.16
2021-05-14 00:00:00,486.56
2021-05-17 00:00:00,482.74
2021-05-18 00:00:00,480.62
2021-05-19 00:00:00,480.47
2021-05-20 00:00:00,491.67
2021-05-21 00:00:00,488.07
2021-05-24 00:00:00,497.83
2021-05-25 00:00:00,505.08
2021-05-26 00:00:00,506.98
2021-05-27 00:00:00,498.28
2021-05-28 00:00:00,504.58
2021-06-01 00:00:00,495.91
2021-06-02 00:00:00,495.77
2021-06-03 00:00:00,493.14
2021-06-04 00:00:00,504.5
2021-06-07 00:00:00,509.47
2021-06-08 00:00:00,509.2
2021-06-09 00:00:00,514.68
2021-06-10 00:00:00,535.52
2021-06-11 00:00:00,541.26
2021-06-14 00:00:00,556.95
2021-06-15 00:00:00,548.46
2021-06-16 00:00:00,543.33
2021-06-17 00:00:00,551.36
2021-06-18 00:00:00,565.59
2021-06-21 00:00:00,567.35
2021-06-22 00:00:00,575.74
2021-06-23 00:00:00,574.23
2021-06-24 00:00:00,578.26
2021-06-25 00:00:00,579.66
2021-06-28 00:00:00,588.8
2021-06-29 00:00:00,590.75
2021-06-30 00:00:00,585.64
2021-07-01 00:00:00,584.73
2021-07-02 00:00:00,593.07
2021-07-06 00:00:00,596.9
2021-07-07 00:00:00,605.77
2021-07-08 00:00:00,605.95
2021-07-09 00:00:00,604.5
2021-07-12 00:00:00,600.2
2021-07-13 00:00:00,605.01
2021-07-14 00:00:00,608.83
2021-07-15 00:00:00,606.17
2021-07-16 00:00:00,606.1
2021-07-19 00:00:00,602.05
2021-07-20 00:00:00,608.72
2021-07-21 00:00:00,612.26
2021-07-22 00:00:00,623.68
2021-07-23 00:00:00,625.87
2021-07-26 00:00:00,620.8
2021-07-27 00:00:00,618.28
2021-07-28 00:00:00,620.92
2021-07-29 00:00:00,621.7
2021-07-30 00:00:00,621.63
2021-08-02 00:00:00,618.75
2021-08-03 00:00:00,621.28
2021-08-04 00:00:00,625.68
2021-08-05 00:00:00,632.08
2021-08-06 00:00:00,631.38
2021-08-09 00:00:00,629.22
2021-08-10 00:00:00,621.74
2021-08-11 00:00:00,626.03
2021-08-12 00:00:00,634.35
2021-08-13 00:00:00,637.31
2021-08-16 00:00:00,636.94
2021-08-17 00:00:00,635.01
2021-08-18 00:00:00,626.77
2021-08-19 00:00:00,637.66
2021-08-20 00:00:00,647.34
2021-08-23 00:00:00,656.86
2021-08-24 00:00:00,657.24
2021-08-25 00:00:00,656.8
2021-08-26 00:00:00,652.39
2021-08-27 00:00:00,658.52
2021-08-30 00:00:00,665.99
2021-08-31 00:00:00,663.7
2021-09-01 00:00:00,665.89
2021-09-02 00:00:00,664.64
2021-09-03 00:00:00,666.59
2021-09-07 00:00:00,661.39
2021-09-08 00:00:00,663.22
2021-09-09 00:00:00,661.68
2021-09-10 00:00:00,658.94
2021-09-13 00:00:00,645.15
2021-09-14 00:00:00,645.01
2021-09-15 00:00:00,661.08
2021-09-16 00:00:00,665.11
2021-09-17 00:00:00,654.48
2021-09-20 00:00:00,641.29
2021-09-21 00:00:00,645.89
2021-09-22 00:00:00,626.08
2021-09-23 00:00:00,630.84
2021-09-24 00:00:00,622.71
2021-09-27 00:00:00,603.65
2021-09-28 00:00:00,578.77
2021-09-29 00:00:00,577.7
2021-09-30 00:00:00,575.72
2021-10-01 00:00:00,577.47
2021-10-04 00:00:00,558.49
2021-10-05 00:00:00,566.7
2021-10-06 00:00:00,570.31
2021-10-07 00:00:00,578.96
2021-10-08 00:00:00,576.86
2021-10-11 00:00:00,573.07
2021-10-12 00:00:00,580.69
2021-10-13 00:00:00,591.12
2021-10-14 00:00:00,607.51
2021-10-15 00:00:00,610.09
2021-10-18 00:00:00,622.83
2021-10-19 00:00:00,636.07
2021-10-20 00:00:00,632.37
2021-10-21 00:00:00,638.66
2021-10-22 00:00:00,643.58
2021-10-25 00:00:00,646.97
2021-10-26 00:00:00,642.5
2021-10-27 00:00:00,640.08
2021-10-28 00:00:00,639.28
2021-10-29 00:00:00,650.36
2021-11-01 00:00:00,640.2
2021-11-02 00:00:00,640.4
2021-11-03 00:00:00,655.18
2021-11-04 00:00:00,674.08
2021-11-05 00:00:00,662.72
2021-11-08 00:00:00,666.02
2021-11-09 00:00:00,667.92
2021-11-10 00:00:00,647.5
2021-11-11 00:00:00,643.17
2021-11-12 00:00:00,657.6
2021-11-15 00:00:00,659.73
2021-11-16 00:00:00,671.03
2021-11-17 00:00:00,670.67
2021-11-18 00:00:00,670.96
2021-11-19 00:00:00,688.37
2021-11-22 00:00:00,673.57
2021-11-23 00:00:00,665.16
2021-11-24 00:00:00,668.32
2021-11-26 00:00:00,662.1
2021-11-29 00:00:00,687.49
2021-11-30 00:00:00,669.85
2021-12-01 00:00:00,657.41
2021-12-02 00:00:00,671.88
2021-12-03 00:00:00,616.53
2021-12-06 00:00:00,622.04
2021-12-07 00:00:00,649.96
2021-12-08 00:00:00,653.1
2021-12-09 00:00:00,632.57
2021-12-10 00:00:00,654.45
2021-12-13 00:00:00,658.3
2021-12-14 00:00:00,614.86
2021-12-15 00:00:00,630.33
2021-12-16 00:00:00,566.09
2021-12-17 00:00:00,556.64
2021-12-20 00:00:00,549.77
2021-12-21 00:00:00,557.52
2021-12-22 00:00:00,563.98
2021-12-23 00:00:00,569.62
2021-12-27 00:00:00,577.68
2021-12-28 00:00:00,569.36
2021-12-29 00:00:00,569.29
2021-12-30 00:00:00,570.53
2021-12-31 00:00:00,567.06
2022-01-03 00:00:00,564.37
2022-01-04 00:00:00,554
2022-01-05 00:00:00,514.43
2022-01-06 00:00:00,514.12
2022-01-07 00:00:00,510.7
2022-01-10 00:00:00,525.83
2022-01-11 00:00:00,529.89
2022-01-12 00:00:00,532.37
2022-01-13 00:00:00,516.9
2022-01-14 00:00:00,520.6
2022-01-18 00:00:00,513.34
2022-01-19 00:00:00,516.58
2022-01-20 00:00:00,510.85
2022-01-21 00:00:00,499.91
2022-01-24 00:00:00,519.66
2022-01-25 00:00:00,502.72
2022-01-26 00:00:00,500.81
2022-01-27 00:00:00,493.05
2022-01-28 00:00:00,518.16
2022-01-31 00:00:00,534.3
2022-02-01 00:00:00,535.98
2022-02-02 00:00:00,533.09
2022-02-03 00:00:00,510.83
2022-02-04 00:00:00,513.54
2022-02-07 00:00:00,507.1
2022-02-08 00:00:00,511.31
2022-02-09 00:00:00,521.75
2022-02-10 00:00:00,495.02
2022-02-11 00:00:00,473.97
2022-02-14 00:00:00,474.01
2022-02-15 00:00:00,479.5
2022-02-16 00:00:00,477.7
2022-02-17 00:00:00,457.71
2022-02-18 00:00:00,442.56
2022-02-22 00:00:00,438.4
2022-02-23 00:00:00,429.45
2022-02-24 00:00:00,463.82
2022-02-25 00:00:00,465.54
2022-02-28 00:00:00,467.68
2022-03-01 00:00:00,466.68
2022-03-02 00:00:00,471.18
2022-03-03 00:00:00,459.08
2022-03-04 00:00:00,452.13
2022-03-07 00:00:00,437.97
2022-03-08 00:00:00,431.53
2022-03-09 00:00:00,450.87
2022-03-10 00:00:00,438.95
2022-03-11 00:00:00,416.38
2022-03-14 00:00:00,411.5
2022-03-15 00:00:00,421.66
2022-03-16 00:00:00,442.36
2022-03-17 00:00:00,444.36
2022-03-18 00:00:00,453.33
2022-03-21 00:00:00,453.59
2022-03-22 00:00:00,466.45
2022-03-23 00:00:00,422.9
2022-03-24 00:00:00,432.14
2022-03-25 00:00:00,431.62
